Date,Category,Description,Amount,Payment Method,Type,Merchant,Note
2024-02-25,Utilities,Mobile recharge,1393.93,Debit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-04-27,Miscellaneous,Gift,735.96,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-05-09,Health,Medicine,645.41,UPI,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-03-04,Rent,Home rent,14970.54,Debit Card,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-06-29,Education,Books,2242.58,Cash,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-05-07,Rent,Apartment rent,11578.84,UPI,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-01-05,Health,Health checkup,1353.44,UPI,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-02-07,Food,Lunch,391.93,Credit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-03-30,Health,Health checkup,979.3,Cash,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-01-07,Bills,Electricity,1414.99,Cash,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-02-10,Rent,Apartment rent,8089.17,Wallet,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-04-14,Travel,Flight booking,226.31,Cash,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-05-01,Rent,Apartment rent,12117.6,Wallet,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-06-12,Utilities,Mobile recharge,1899.09,Wallet,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-01-17,Food,Grocery store,293.33,UPI,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-01-06,Bills,Electricity,2241.07,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-05-07,Education,Workshop,2472.69,Cash,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-06-24,Travel,Taxi,639.57,Wallet,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-02-15,Utilities,Water bill,921.41,Cash,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-05-31,Miscellaneous,Gift,886.23,Cash,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-05-06,Travel,Flight booking,396.4,UPI,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-03-25,Shopping,Clothes,1977.96,Credit Card,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-01-03,Utilities,Internet bill,1610.3,Wallet,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-03-29,Shopping,Electronics,1478.81,Debit Card,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-01-30,Rent,Home rent,15523.77,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-06-06,Rent,Apartment rent,6320.58,Cash,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-01-27,Rent,Office rent,17192.89,Wallet,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-01-13,Travel,Flight booking,513.21,Credit Card,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-06-19,Travel,Bus ticket,449.13,UPI,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-03-03,Bills,Electricity,1576.16,Cash,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-04-08,Education,Books,1362.29,Debit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-04-24,Miscellaneous,Donation,681.6,Debit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-05-08,Bills,Phone,1043.78,Credit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-02-14,Health,Medicine,850.39,Debit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-06-29,Shopping,Gift,1306.25,Credit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-06-17,Utilities,Electricity bill,1883.89,Debit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-05-15,Food,Coffee shop,368.84,Cash,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-01-11,Entertainment,Game,1336.77,Debit Card,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-04-03,Utilities,Internet bill,934.64,Wallet,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-02-18,Rent,Home rent,10013.61,Debit Card,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-03-28,Food,Dinner,517.23,Cash,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-04-25,Health,Medicine,1028.23,Debit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-06-16,Entertainment,Game,1225.73,Cash,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-05-20,Rent,Office rent,11464.8,Cash,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-03-28,Miscellaneous,Gift,732.01,UPI,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-01-05,Health,Health checkup,1135.36,Cash,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-03-27,Utilities,Electricity bill,1400.05,Credit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-05-22,Food,Coffee shop,523.76,Credit Card,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-06-19,Food,Restaurant,337.59,Debit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-06-12,Travel,Taxi,535.78,Cash,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-01-18,Entertainment,Concert,1199.32,UPI,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-05-20,Rent,Office rent,12871.77,Cash,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-01-08,Food,Lunch,286.78,Wallet,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-06-06,Shopping,Clothes,1987.81,Cash,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-04-23,Shopping,Clothes,1982.95,Cash,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-05-25,Miscellaneous,Gift,567.05,Wallet,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-03-15,Food,Grocery store,384.45,Credit Card,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-06-06,Shopping,Gift,1970.5,Wallet,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-06-14,Rent,Home rent,9322.42,UPI,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-06-09,Entertainment,Concert,1274.99,Credit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-01-08,Rent,Office rent,11698.78,Debit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-01-27,Education,Online learning,1727.99,Credit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-05-19,Utilities,Internet bill,1490.61,Credit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-05-22,Food,Restaurant,213.44,Wallet,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-03-13,Miscellaneous,Gift,408.98,Cash,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-01-29,Education,Online learning,2541.58,UPI,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-03-31,Health,Gym membership,660.88,Cash,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-02-27,Utilities,Internet bill,1652.61,Debit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-06-08,Travel,Fuel,435.02,Credit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-01-08,Travel,Metro ride,577.36,Cash,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-01-09,Food,Dinner,524.49,Debit Card,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-04-07,Food,Coffee shop,240.75,UPI,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-05-23,Rent,Office rent,4827.64,Debit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-05-17,Shopping,Gift,1564.37,Credit Card,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-05-28,Utilities,Internet bill,1042.23,Wallet,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-01-06,Rent,Home rent,16877.72,Debit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-06-01,Food,Restaurant,431.14,Credit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-03-22,Utilities,Electricity bill,1560.97,UPI,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-03-20,Food,Lunch,565.14,Wallet,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-06-14,Health,Medicine,664.6,UPI,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-05-04,Rent,Office rent,12849.98,UPI,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-02-17,Food,Restaurant,343.01,Debit Card,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-01-29,Food,Restaurant,247.21,Wallet,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-04-20,Education,Workshop,2783.61,UPI,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-06-04,Rent,Apartment rent,11044.88,Wallet,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-02-02,Food,Grocery store,268.49,Cash,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-02-20,Utilities,Water bill,1255.22,Wallet,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-03-15,Shopping,Accessories,1865.05,Credit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-03-08,Rent,Apartment rent,12438.27,Credit Card,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-01-02,Health,Gym membership,575.38,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-02-24,Utilities,Internet bill,1772.99,Cash,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-06-20,Bills,Cable,1141.17,Wallet,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-06-13,Utilities,Mobile recharge,1413.43,Credit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-05-24,Food,Grocery store,459.6,Cash,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-01-04,Utilities,Water bill,1132.0,Debit Card,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-04-16,Bills,Phone,1372.27,Debit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-02-29,Utilities,Water bill,1089.04,Credit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-01-15,Food,Restaurant,398.68,Credit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-06-17,Health,Health checkup,1124.41,Cash,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-03-30,Food,Lunch,437.57,Debit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-03-27,Utilities,Internet bill,983.05,Credit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-05-19,Bills,Electricity,1558.45,Wallet,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-03-24,Entertainment,Concert,865.36,UPI,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-04-26,Rent,Apartment rent,10069.24,Wallet,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-04-06,Bills,Electricity,1616.06,Credit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-03-27,Bills,Cable,977.38,Cash,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-05-13,Entertainment,Streaming service,851.21,Credit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
